Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L1,Land Cloud Cover,Scene Cloud Cover L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L1,Sensor Identifier,Satellite,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC08_L1GT_209160_20191115_20200825_02_T2,LC82091602019319LGN00,2019/11/15,T2,2, 209, 160,NADIR,   0.000,2020/08/25,  -1.00,  -1.00,2019-11-15 12:36:11.981338,2019-11-15 12:36:43.751337,LGN,NIGHT,-1,5,,,,9,LPGS_15.3.1c,-34.42784252,-160.03267941,FINAL,OLI_TIRS_L1GT,OLI_TIRS,8,15381,15281,7691,7641,7691,7641,UTM,55,WGS84,WGS84,15.00,30.00,30.00,LO8BPF20191115113757_20191115133334.02,LT8BPF20191113051008_20191128101151.02,LC08CPF_20191001_20191219_02.01,LC08RLUT_20150303_20431231_02_01.h5,34°36'38.27"S,149°44'13.02"E,33°35'21.91"S,148°28'07.86"E,33°32'07.91"S,150°56'07.26"E,35°40'09.01"S,148°30'21.53"E,35°36'39.46"S,151°02'04.38"E,-34.61063, 149.73695,-33.58942, 148.46885,-33.53553, 150.93535,-35.66917, 148.50598,-35.61096, 151.03455,LC08_L1GT_209160_20191115_20200825_02_T2,LC82091602019319LGN00
LC08_L1GT_209161_20191115_20200825_02_T2,LC82091612019319LGN00,2019/11/15,T2,2, 209, 161,NADIR,   0.000,2020/08/25,  -1.00,  -1.00,2019-11-15 12:36:35.931682,2019-11-15 12:37:07.701681,LGN,NIGHT,-1,5,    0.000,    0.000,    0.000,9,LPGS_15.3.1c,-35.68586674,-159.35279305,FINAL,OLI_TIRS_L1GT,OLI_TIRS,8,15401,15281,7701,7641,7701,7641,UTM,55,WGS84,WGS84,15.00,30.00,30.00,LO8BPF20191115113757_20191115133334.02,LT8BPF20191113051008_20191128101151.02,LC08CPF_20191001_20191219_02.01,LC08RLUT_20150303_20431231_02_01.h5,33°10'37.56"S,149°20'15"E,32°08'53.92"S,148°05'43.37"E,32°06'14.36"S,150°31'23.48"E,34°13'53.62"S,148°07'17.83"E,34°11'01"S,150°36'26.68"E,-33.17710, 149.33750,-32.14831, 148.09538,-32.10399, 150.52319,-34.23156, 148.12162,-34.18361, 150.60741,LC08_L1GT_209161_20191115_20200825_02_T2,LC82091612019319LGN00
LC08_L1GT_208160_20191124_20200825_02_T2,LC82081602019328LGN00,2019/11/24,T2,2, 208, 160,NADIR,   0.000,2020/08/25,  -1.00,  -1.00,2019-11-24 12:29:59.527092,2019-11-24 12:30:31.297091,LGN,NIGHT,-1,5,,,,9,LPGS_15.3.1c,-32.31367833,-160.20955492,FINAL,OLI_TIRS_L1GT,OLI_TIRS,8,15781,15701,7891,7851,7891,7851,UTM,56,WGS84,WGS84,15.00,30.00,30.00,LO8BPF20191124113257_20191124132745.02,LT8BPF20191113051008_20191128101151.02,LC08CPF_20191001_20191219_02.01,LC08RLUT_20150303_20431231_02_01.h5,34°36'37.80"S,151°17'13.13"E,33°31'00.23"S,150°02'21.52"E,33°33'05.08"S,152°34'28.16"E,35°38'54.17"S,149°57'45.58"E,35°41'09.28"S,152°33'48.46"E,-34.61050, 151.28698,-33.51673, 150.03931,-33.55141, 152.57449,-35.64838, 149.96266,-35.68591, 152.56346,LC08_L1GT_208160_20191124_20200825_02_T2,LC82081602019328LGN00
LC08_L1GT_208161_20191124_20200825_02_T2,LC82081612019328LGN00,2019/11/24,T2,2, 208, 161,NADIR,   0.000,2020/08/25,  -1.00,  -1.00,2019-11-24 12:30:23.473199,2019-11-24 12:30:55.243198,LGN,NIGHT,-1,5,,,,9,LPGS_15.3.1c,-33.57400343,-159.57182444,FINAL,OLI_TIRS_L1GT,OLI_TIRS,8,15801,15701,7901,7851,7901,7851,UTM,56,WGS84,WGS84,15.00,30.00,30.00,LO8BPF20191124113257_20191124132745.02,LT8BPF20191113051008_20191128101151.02,LC08CPF_20191001_20191219_02.01,LC08RLUT_20150303_20431231_02_01.h5,33°10'38.03"S,150°53'15.40"E,32°04'45.55"S,149°39'50.76"E,32°07'13.73"S,152°09'29.88"E,34°12'48.17"S,149°34'56.10"E,34°15'28.80"S,152°08'15.36"E,-33.17723, 150.88761,-32.07932, 149.66410,-32.12048, 152.15830,-34.21338, 149.58225,-34.25800, 152.13760,LC08_L1GT_208161_20191124_20200825_02_T2,LC82081612019328LGN00
LC08_L1GT_209160_20191201_20200825_02_T2,LC82091602019335LGN00,2019/12/01,T2,2, 209, 160,NADIR,   0.000,2020/08/25,  -1.00,  -1.00,2019-12-01 12:36:10.40805,2019-12-01 12:36:42.178049,LGN,NIGHT,-1,5,,,,9,LPGS_15.3.1c,-30.95119389,-160.03857934,FINAL,OLI_TIRS_L1GT,OLI_TIRS,8,15381,15281,7691,7641,7691,7641,UTM,55,WGS84,WGS84,15.00,30.00,30.00,LO8BPF20191201113756_20191201133332.03,LT8BPF20191128105356_20191212171039.01,LC08CPF_20191001_20191219_02.01,LC08RLUT_20150303_20431231_02_01.h5,34°36'38.99"S,149°44'15.04"E,33°35'21.91"S,148°28'07.86"E,33°32'07.91"S,150°56'07.26"E,35°40'09.01"S,148°30'21.53"E,35°36'39.46"S,151°02'04.38"E,-34.61083, 149.73751,-33.58942, 148.46885,-33.53553, 150.93535,-35.66917, 148.50598,-35.61096, 151.03455,LC08_L1GT_209160_20191201_20200825_02_T2,LC82091602019335LGN00
LC08_L1GT_209161_20191201_20200825_02_T2,LC82091612019335LGN00,2019/12/01,T2,2, 209, 161,NADIR,   0.000,2020/08/25,  -1.00,  -1.00,2019-12-01 12:36:34.358394,2019-12-01 12:37:06.128393,LGN,NIGHT,-1,5,,,,9,LPGS_15.3.1c,-32.20978266,-159.42280113,FINAL,OLI_TIRS_L1GT,OLI_TIRS,8,15401,15281,7701,7641,7701,7641,UTM,55,WGS84,WGS84,15.00,30.00,30.00,LO8BPF20191201113756_20191201133332.03,LT8BPF20191128105356_20191212171039.01,LC08CPF_20191001_20191219_02.01,LC08RLUT_20150303_20431231_02_01.h5,33°10'38.14"S,149°20'17.30"E,32°08'53.92"S,148°05'43.37"E,32°06'14.36"S,150°31'23.48"E,34°13'53.62"S,148°07'17.83"E,34°11'01"S,150°36'26.68"E,-33.17726, 149.33814,-32.14831, 148.09538,-32.10399, 150.52319,-34.23156, 148.12162,-34.18361, 150.60741,LC08_L1GT_209161_20191201_20200825_02_T2,LC82091612019335LGN00
LC08_L1GT_208160_20191210_20200824_02_T2,LC82081602019344LGN00,2019/12/10,T2,2, 208, 160,NADIR,   0.000,2020/08/24,  -1.00,  -1.00,2019-12-10 12:29:58.894547,2019-12-10 12:30:30.664546,LGN,NIGHT,-1,5,,,,9,LPGS_15.3.1c,-29.62989979,-159.48027180,FINAL,OLI_TIRS_L1GT,OLI_TIRS,8,15781,15701,7891,7851,7891,7851,UTM,56,WGS84,WGS84,15.00,30.00,30.00,LO8BPF20191210113256_20191210132745.01,LT8BPF20191128105356_20191212171039.01,LC08CPF_20191001_20191219_02.01,LC08RLUT_20150303_20431231_02_01.h5,34°36'38.02"S,151°16'56.57"E,33°30'59.98"S,150°02'09.89"E,33°33'05.04"S,152°34'16.54"E,35°38'53.84"S,149°57'33.66"E,35°41'09.24"S,152°33'36.50"E,-34.61056, 151.28238,-33.51666, 150.03608,-33.55140, 152.57126,-35.64829, 149.95935,-35.68590, 152.56014,LC08_L1GT_208160_20191210_20200824_02_T2,LC82081602019344LGN00
LC08_L1GT_208161_20191210_20200824_02_T2,LC82081612019344LGN00,2019/12/10,T2,2, 208, 161,NADIR,   0.000,2020/08/24,  -1.00,  -1.00,2019-12-10 12:30:22.840654,2019-12-10 12:30:54.610654,LGN,NIGHT,-1,5,    0.000,    0.000,    0.000,9,LPGS_15.3.1c,-30.88123046,-158.88049791,FINAL,OLI_TIRS_L1GT,OLI_TIRS,8,15801,15701,7901,7851,7901,7851,UTM,56,WGS84,WGS84,15.00,30.00,30.00,LO8BPF20191210113256_20191210132745.01,LT8BPF20191128105356_20191212171039.01,LC08CPF_20191001_20191219_02.01,LC08RLUT_20150303_20431231_02_01.h5,33°10'38.03"S,150°52'59.09"E,32°04'45.26"S,149°39'39.35"E,32°07'13.66"S,152°09'18.43"E,34°12'47.84"S,149°34'44.36"E,34°15'28.73"S,152°08'03.66"E,-33.17723, 150.88308,-32.07924, 149.66093,-32.12046, 152.15512,-34.21329, 149.57899,-34.25798, 152.13435,LC08_L1GT_208161_20191210_20200824_02_T2,LC82081612019344LGN00
LC08_L1GT_209160_20191217_20201023_02_T2,LC82091602019351LGN01,2019/12/17,T2,2, 209, 160,NADIR,   0.000,2020/10/23,  -1.00,  -1.00,2019-12-17 12:36:08.538718,2019-12-17 12:36:40.308717,LGN,NIGHT,-1,5,,,,9,LPGS_15.3.1,-28.96514805,-158.81136821,FINAL,OLI_TIRS_L1GT,OLI_TIRS,8,15381,15281,7691,7641,7691,7641,UTM,55,WGS84,WGS84,15.00,30.00,30.00,LO8BPF20191217113906_20191217133330.01,LT8BPF20191212171039_20191212193131.01,LC08CPF_20191001_20191219_02.01,LC08RLUT_20150303_20431231_02_01.h5,34°36'38.52"S,149°44'10.25"E,33°35'21.91"S,148°28'07.86"E,33°32'07.91"S,150°56'07.26"E,35°40'09.01"S,148°30'21.53"E,35°36'39.46"S,151°02'04.38"E,-34.61070, 149.73618,-33.58942, 148.46885,-33.53553, 150.93535,-35.66917, 148.50598,-35.61096, 151.03455,LC08_L1GT_209160_20191217_20201023_02_T2,LC82091602019351LGN01
LC08_L1GT_209161_20191217_20201023_02_T2,LC82091612019351LGN01,2019/12/17,T2,2, 209, 161,NADIR,   0.000,2020/10/23,  -1.00,  -1.00,2019-12-17 12:36:32.489061,2019-12-17 12:37:04.259061,LGN,NIGHT,-1,5,,,,9,LPGS_15.3.1,-30.20805134,-158.21488467,FINAL,OLI_TIRS_L1GT,OLI_TIRS,8,15401,15281,7701,7641,7701,7641,UTM,55,WGS84,WGS84,15.00,30.00,30.00,LO8BPF20191217113906_20191217133330.01,LT8BPF20191212171039_20191212193131.01,LC08CPF_20191001_20191219_02.01,LC08RLUT_20150303_20431231_02_01.h5,33°10'37.52"S,149°20'12.98"E,32°08'53.92"S,148°05'43.37"E,32°06'14.36"S,150°31'23.48"E,34°13'53.62"S,148°07'17.83"E,34°11'01"S,150°36'26.68"E,-33.17709, 149.33694,-32.14831, 148.09538,-32.10399, 150.52319,-34.23156, 148.12162,-34.18361, 150.60741,LC08_L1GT_209161_20191217_20201023_02_T2,LC82091612019351LGN01
